;10.00;33386;10;0003851;
;10.00;33402;13;0003851;
;10.00;33407;16;0003850;
;10.00;33405;13;0003850;
;10.00;33405;12;0003850;
;10.00;33405;16;0003850;
;10.00;33403;14;0003850;
;10.00;33402;12;0003850;
;10.00;33400;13;0003850;
;10.00;33403;13;0003850;
;10.00;33399;12;0003850;
;10.00;33400;12;0003850;
;10.00;33400;13;0003849;
;10.00;33402;15;0003849;
;10.00;33402;12;0003849;
;10.00;33400;14;0003849;
;10.00;33402;12;0003849;
;10.00;33400;12;0003849;
;10.00;33399;13;0003849;
;10.00;33400;15;0003849;
;10.00;33398;12;0003849;
;10.00;33400;12;0003849;
;10.00;33401;16;0003849;
;10.00;33401;14;0003849;
;10.00;33402;13;0003849;
;10.00;33400;12;0003849;
;10.00;33402;12;0003849;
;10.00;33402;12;0003849;
;10.00;33403;12;0003849;
;10.00;33402;16;0003849;
;10.00;33403;15;0003849;
;10.00;33404;12;0003848;
;10.00;33401;13;0003848;
;10.00;33401;12;0003848;
;10.00;33402;10;0003848;
;10.00;33403;16;0003848;
;10.00;33400;13;0003848;
;10.00;33402;14;0003848;
;10.00;33401;14;0003848;
;10.00;33401;14;0003848;
;10.00;33404;12;0003848;
;10.00;33401;13;0003848;
;10.00;33403;14;0003848;
;10.00;33400;13;0003848;
;10.00;33403;12;0003848;
;10.00;33401;12;0003848;
;10.00;33403;13;0003848;
;10.00;33400;12;0003848;
;10.00;33399;14;0003848;
;10.00;33398;13;0003848;
;10.00;33401;13;0003847;
;10.00;33402;13;0003847;
;10.00;33399;14;0003847;
;10.00;33401;12;0003847;
;10.00;33399;12;0003847;
;10.00;33398;13;0003847;
;10.00;33399;13;0003847;
;10.00;33403;12;0003847;
;10.00;33401;12;0003847;
;10.00;33402;13;0003847;
;10.00;33402;13;0003847;
;10.00;33400;12;0003847;
;10.00;33400;12;0003847;
;10.00;33398;12;0003847;
;10.00;33399;15;0003847;
;10.00;33398;15;0003847;
;10.00;33397;14;0003847;
;10.00;33397;16;0003847;
;10.00;33397;13;0003847;
;10.00;33398;13;0003847;
;10.00;33399;12;0003846;
;10.00;33399;12;0003846;
;10.00;33393;12;0003846;
;10.00;33400;11;0003846;
;10.00;33398;13;0003846;
;10.00;33401;13;0003846;
;10.00;33401;12;0003846;
;10.00;33397;13;0003846;
;10.00;33398;13;0003846;
;10.00;33397;13;0003846;
;10.00;33398;13;0003846;
;10.00;33398;13;0003846;
;10.00;33399;13;0003846;
;10.00;33399;15;0003846;
;10.00;33398;12;0003846;
;10.00;33398;12;0003846;
;10.00;33400;15;0003846;
;10.00;33398;12;0003846;
;10.00;33397;14;0003846;
;10.00;33396;16;0003846;
;10.00;33397;13;0003845;
;10.00;33398;12;0003845;
;10.00;33394;13;0003845;
;10.00;33396;12;0003845;
;10.00;33398;12;0003845;
;10.00;33398;11;0003845;
;10.00;33395;12;0003845;
;10.00;33400;13;0003845;
;10.00;33398;15;0003845;
;10.00;33399;14;0003845;
;10.00;33396;12;0003845;
;10.00;33396;12;0003845;
;10.00;33396;12;0003845;
;10.00;33397;12;0003845;
;10.00;33395;12;0003845;
;10.00;33396;14;0003845;
;10.00;33395;12;0003845;
;10.00;33394;12;0003845;
;10.00;33395;14;0003845;
;10.00;33395;12;0003845;
;10.00;33396;15;0003844;
;10.00;33399;14;0003844;
;10.00;33399;13;0003844;
;10.00;33399;13;0003844;
;10.00;33398;11;0003844;
;10.00;33397;12;0003844;
;10.00;33396;12;0003844;
;10.00;33396;12;0003844;
;10.00;33396;13;0003844;
;10.00;33397;12;0003844;
;10.00;33394;12;0003844;
;10.00;33394;15;0003844;
;10.00;33395;17;0003844;
;10.00;33394;14;0003844;
;10.00;33392;9;0003844;
;10.00;33395;13;0003844;
